URL,Last crawled,Status
https://traderefer.au/local/nsw/sydney/baulkham-hills/drainage/surface-drainage-systems,2026-03-12,Pending
https://traderefer.au/local/qld/brisbane/annerley/demolition/pool-demolition,2026-03-10,Pending
https://traderefer.au/local/vic/melbourne/rowville/painting/ceiling-painting,2026-03-10,Pending
https://traderefer.au/local/qld/capalaba/capalaba/irrigation/irrigation-system-repair,2026-03-10,Pending
https://traderefer.au/local/sa/adelaide/brighton/rubbish-removal/hard-rubbish-collection,2026-03-10,Pending
https://traderefer.au/local/tas/hobart/moonah/cabinet-making/garage-storage-and-workshop-cabinetry,2026-03-10,Pending
https://traderefer.au/local/wa/carlisle/carlisle/bathroom-renovation/bathroom-tap-installation,2026-03-10,Pending
https://traderefer.au/local/tas/launceston/prospect-vale/carpentry/timber-deck-construction,2026-03-10,Pending
https://traderefer.au/local/wa/cockburn/banjup/excavation/stump-and-tree-removal,2026-03-10,Pending
https://traderefer.au/local/sa/adelaide/campbelltown/guttering/fascia-and-soffit-repair,2026-03-10,Pending
https://traderefer.au/local/wa/perth/bassendean/shed-building/garage-construction,2026-03-10,Pending
https://traderefer.au/local/act/canberra/gungahlin/gardening-lawn-care/weed-removal-and-spraying,2026-03-10,Pending
https://traderefer.au/local/qld/fortitude-valley/fortitude-valley/solar-energy/ev-charger-installation,2026-03-10,Pending
https://traderefer.au/local/nsw/sydney/baulkham-hills/tree-lopping-removal/mulch-supply-and-wood-chipping,2026-03-10,Pending
https://traderefer.au/local/nsw/cronulla/cronulla/pest-control/spider-spray,2026-03-10,Pending
https://traderefer.au/local/sa/christies-beach/hackham/shed-building/cyclone-rated-shed-installation,2026-03-10,Pending
https://traderefer.au/local/sa/henley-beach/flinders-park/garage-doors/garage-door-servicing-and-maintenance,2026-03-10,Pending
https://traderefer.au/local/qld/brisbane/everton-park/fencing/picket-fence-installation,2026-03-10,Pending
https://traderefer.au/local/tas/hobart/claremont/scaffolding/scaffold-for-roof-access,2026-03-10,Pending
https://traderefer.au/local/wa/cannington/high-wycombe/scaffolding/scaffolding-safety-inspection,2026-03-10,Pending
https://traderefer.au/local/wa/perth/belmont/fencing/pool-fence-compliance-inspection,2026-03-10,Pending
